#GENE	COV002_endo	COV003_endo	COV004_endo	COV005_endo	COV006_endo	COV007_endo	COV008_endo	COV010_endo	COV011_endo	COV012_endo	COV013_endo	COV014_endo	COV015_endo	COV016_endo
AC000403.1	341	1	99	35	63	173	129	207	94	57	78	38	156	173
AC001226.1	4	0	6	0	0	6	0	0	0	1	32	0	8	4
AC001226.2	7	0	12	0	21	5	19	21	28	9	10	2	23	4
AC002044.1	31	0	2	0	1	1	0	12	0	0	0	0	0	7
AC002044.2	3	0	9	0	4	7	20	9	7	3	36	0	0	41
AC002044.3	0	1	2	0	0	0	0	6	10	11	6	3	45	0
AC002056.1	9	13	6	21	7	12	23	8	12	12	7	9	11	11
AC002056.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002057.1	0	0	14	3	0	0	3	0	0	0	37	0	0	0
AC002057.2	0	0	3	0	2	0	0	1	0	0	6	0	0	1
AC002059.1	0	0	0	0	0	6	5	0	0	0	0	0	7	10
AC002059.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.3	1	1	20	0	0	8	4	7	8	7	21	0	2	9
AC002064.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.3	0	0	0	53	0	1	0	0	0	0	4	0	0	9
AC002064.4	0	0	0	0	0	0	0	0	4	0	0	0	10	0
AC002066.1	0	0	17	0	0	23	34	115	53	24	0	45	17	56
AC002069.1	14	0	2	0	0	0	1	3	4	0	0	0	0	0
AC002069.2	37	0	7	0	0	0	0	2	4	0	0	2	0	3
AC002069.3	5	0	0	0	0	0	0	0	3	0	0	0	0	0
AC002069.4	0	0	0	0	0	0	0	0	16	0	11	0	0	0
AC002070.1	30	1	16	0	9	17	37	15	17	20	1	14	7	24
AC002072.1	2	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002073.1	10	1	1	4	4	3	2	0	0	1	26	0	22	5
AC002074.1	15	0	11	0	1	11	1	22	7	0	26	3	3	9
AC002074.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002075.1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AC002075.2	14	17	5	2	14	18	8	18	11	2	8	17	12	17
AC002076.1	9	0	0	28	9	15	3	4	2	7	0	1	28	32
AC002076.2	0	0	0	0	4	6	2	1	0	0	36	0	8	0
AC002090.1	0	0	0	1	0	0	0	35	0	0	0	6	0	0
AC002091.1	0	0	11	1	1	0	1	1	23	1	0	1	0	4
AC002091.2	2	0	3	1	1	0	1	0	3	1	0	1	1	3
AC002094.1	0	10	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.4	0	4	1	0	0	1	4	0	4	2	2	2	0	2
AC002094.5	16	4	2	0	11	11	12	1	10	3	9	0	1	19
AC002101.1	1	0	0	0	0	0	2	0	1	0	0	0	10	0
AC002115.1	0	0	0	0	1	0	1	0	3	0	0	0	17	0
AC002116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.2	0	0	8	0	14	11	19	7	5	18	15	4	33	7
AC002127.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.1	11	1	26	2	5	9	10	2	16	4	4	0	14	13
AC002128.2	0	0	0	0	3	0	3	0	2	0	1	0	6	0
AC002306.1	0	0	7	0	0	4	0	5	5	0	22	0	2	1
AC002310.1	21	0	9	95	12	55	30	17	7	16	12	9	16	22
AC002310.2	5	0	0	0	10	0	5	0	7	5	5	6	1	8
AC002310.3	1	0	7	0	6	6	1	0	2	1	2	2	0	1
AC002310.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.5	2	0	4	1	0	2	3	2	0	0	0	6	0	3
AC002331.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC002347.1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AC002347.2	0	0	0	0	0	0	0	0	4	0	0	0	0	1
AC002350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002350.2	42	0	11	38	19	11	32	23	30	34	12	18	24	20
AC002351.1	0	0	2	0	0	9	0	0	5	0	0	0	0	20
AC002359.1	0	0	0	0	0	9	0	0	3	0	0	0	0	0
AC002365.1	0	0	4	0	0	2	0	1	0	0	10	16	1	3
AC002366.1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
AC002368.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC002375.1	1	0	3	0	2	5	3	0	18	0	3	0	1	6
AC002377.1	0	0	26	0	0	2	5	1	0	0	0	0	0	0
AC002378.1	0	0	0	0	0	4	0	4	1	0	25	4	0	9
AC002381.1	0	0	3	0	0	0	0	0	5	0	0	0	0	0
AC002383.1	2	0	3	0	0	0	0	0	0	0	0	6	0	0
AC002386.1	0	0	1	0	0	0	1	0	0	0	8	4	0	0
AC002395.1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
AC002398.1	1	0	0	1	1	3	5	3	0	1	3	2	1	2
AC002398.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.1	15	0	0	0	2	0	0	0	2	0	0	0	0	0
AC002401.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.4	14	0	0	0	5	20	3	0	1	1	0	0	2	0
AC002407.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002407.2	0	0	3	0	1	0	0	4	0	0	0	2	0	0
AC002416.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.1	0	0	4	0	0	2	0	0	0	0	0	0	0	0
AC002428.2	0	0	0	0	10	3	0	0	2	0	0	0	1	0
AC002429.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.1	14	86	31	0	11	21	14	53	40	3	33	16	136	15
AC002451.2	0	0	13	0	0	0	0	0	4	0	0	0	0	2
AC002456.1	57	5	34	3	35	15	21	120	65	6	46	2	92	6
AC002456.2	0	0	0	15	0	1	0	0	0	0	0	0	0	0
AC002458.1	3	0	1	0	0	0	0	0	0	0	0	0	0	0
AC002460.1	0	0	0	0	0	0	0	0	0	0	12	0	2	0
AC002460.2	2	0	0	0	0	8	5	5	4	0	10	8	33	60
AC002461.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002463.1	27	0	18	0	39	1	10	17	10	1	4	1	25	10
AC002464.1	59	1	11	0	2	4	16	18	13	7	62	3	2	5
AC002465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.1	186	506	97	318	162	208	136	108	132	119	172	176	120	216
AC002470.1	8	0	13	0	27	3	7	9	12	6	8	10	4	15
AC002470.2	0	0	0	0	0	0	2	0	0	0	0	0	0	4
AC002472.1	4	0	4	0	0	1	0	0	4	0	1	0	6	2
AC002472.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.4	1	0	0	0	0	0	2	0	1	0	0	0	0	0
AC002480.1	240	363	172	382	235	164	201	212	204	151	214	138	80	180
AC002480.2	496	104	202	121	479	271	227	345	303	144	200	262	141	353
AC002486.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC002486.2	0	2	4	2	1	1	3	1	0	1	0	5	0	3
AC002487.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
