gene,type
FABP4,hormones_&_receptors
FAM83B,growth_factors_&_receptors
FAS,cytokin/chemokine_&_receptors
FASLG,cytokin/chemokine_&_receptors
FBN1,hormones_&_receptors
FBN2,hormones_&_receptors
FBXW7-AS1,growth_factors_&_receptors
FER,growth_factors_&_receptors
fgf gene,growth_factors_&_receptors
FGF1,growth_factors_&_receptors
FGF10,growth_factors_&_receptors
FGF11,growth_factors_&_receptors
FGF12,growth_factors_&_receptors
FGF13,growth_factors_&_receptors
FGF14,growth_factors_&_receptors
FGF16,growth_factors_&_receptors
FGF17,growth_factors_&_receptors
FGF18,growth_factors_&_receptors
FGF19,growth_factors_&_receptors
FGF1A,growth_factors_&_receptors
FGF1B,growth_factors_&_receptors
FGF1D,growth_factors_&_receptors
FGF2,growth_factors_&_receptors
FGF20,growth_factors_&_receptors
FGF21,growth_factors_&_receptors
FGF22,growth_factors_&_receptors
FGF23,growth_factors_&_receptors
FGF2B,growth_factors_&_receptors
FGF3,growth_factors_&_receptors
FGF3A,growth_factors_&_receptors
FGF4,growth_factors_&_receptors
FGF4A,growth_factors_&_receptors
FGF4B,growth_factors_&_receptors
FGF4C,growth_factors_&_receptors
FGF5,growth_factors_&_receptors
FGF5A,growth_factors_&_receptors
FGF5B,growth_factors_&_receptors
FGF5C,growth_factors_&_receptors
FGF5D,growth_factors_&_receptors
FGF6,growth_factors_&_receptors
FGF6A,growth_factors_&_receptors
FGF6B,growth_factors_&_receptors
FGF6C,growth_factors_&_receptors
FGF7,growth_factors_&_receptors
FGF7A,growth_factors_&_receptors
FGF7B,growth_factors_&_receptors
FGF8,growth_factors_&_receptors
FGF8A,growth_factors_&_receptors
FGF8B,growth_factors_&_receptors
FGF8C,growth_factors_&_receptors
FGF9,growth_factors_&_receptors
FGFA,growth_factors_&_receptors
FGFBP1,growth_factors_&_receptors
FGFBP2,growth_factors_&_receptors
FGFBP3,growth_factors_&_receptors
FGFR1,growth_factors_&_receptors
FGFR2,growth_factors_&_receptors
FGFR3,growth_factors_&_receptors
FGFR4,growth_factors_&_receptors
FGFRL1,growth_factors_&_receptors
FIBP,growth_factors_&_receptors
FLJ00080,growth_factors_&_receptors
FLRT2,growth_factors_&_receptors
FLRT3,growth_factors_&_receptors
FLT1,growth_factors_&_receptors
FLT3,growth_factors_&_receptors
FLT4,growth_factors_&_receptors
FNDC5,hormones_&_receptors
FRS2,growth_factors_&_receptors
FRS3,growth_factors_&_receptors
FSHB,hormones_&_receptors
fshb-cga_human,hormones_&_receptors
FSHR,hormones_&_receptors
FSTL4,growth_factors_&_receptors
FURIN,growth_factors_&_receptors
FYN,growth_factors_&_receptors
GAL,hormones_&_receptors
GALP,hormones_&_receptors
GALR1,hormones_&_receptors
GALR2,hormones_&_receptors
GALR3,hormones_&_receptors
GAS,hormones_&_receptors
GAST,hormones_&_receptors
GATA3,growth_factors_&_receptors
GCG,hormones_&_receptors
GCGR,hormones_&_receptors
GDF1,cytokin/chemokine_&_receptors
GDF1,growth_factors_&_receptors
GDF10,cytokin/chemokine_&_receptors
GDF10,growth_factors_&_receptors
GDF11,cytokin/chemokine_&_receptors
GDF11,growth_factors_&_receptors
GDF15,cytokin/chemokine_&_receptors
GDF15,growth_factors_&_receptors
GDF2,cytokin/chemokine_&_receptors
GDF2,growth_factors_&_receptors
GDF3,cytokin/chemokine_&_receptors
GDF3,growth_factors_&_receptors
GDF3A,growth_factors_&_receptors
GDF5,cytokin/chemokine_&_receptors
GDF5,growth_factors_&_receptors
GDF6,cytokin/chemokine_&_receptors
